N1,N2,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,engaged,flip
16,16,z:il2d,nat-oop,158,145,64.750,0.917,2.481e-16,csk+rb,0,0
16,16,z:il2d,nat-oop,158,145,64.797,0.919,2.481e-16,csk+rb,0,1
32,16,z:il2d,nat-oop,505,340,45.663,0.674,2.337e-16,turn,0,0
32,16,z:il2d,nat-oop,502,341,45.871,0.678,2.337e-16,turn,0,1
32,32,z:il2d,nat-oop,739,718,69.268,0.971,2.408e-16,chain+rb2,0,0
32,32,z:il2d,nat-oop,743,722,68.881,0.971,2.408e-16,chain+rb2,0,1
128,64,z:il2d,nat-oop,4385,4902,121.425,1.118,2.641e-16,chain+rb2,4159,0
128,64,z:il2d,nat-oop,4178,4966,127.453,1.189,2.641e-16,chain+rb2,2460,1
128,128,z:il2d,nat-oop,10663,12999,107.556,1.219,3.849e-16,chain,1960,0
128,128,z:il2d,nat-oop,9313,12678,123.147,1.361,3.849e-16,chain,1378,1
128,256,z:il2d,nat-oop,11911,15126,206.322,1.270,3.960e-16,chain+rb2,1378,0
128,256,z:il2d,nat-oop,14443,14549,170.163,1.007,3.960e-16,chain+rb2,848,1
128,512,z:il2d,nat-oop,26847,27283,195.290,1.016,3.177e-16,chain,440,0
128,512,z:il2d,nat-oop,28083,27297,186.690,0.972,3.177e-16,chain,308,1
256,32,z:il2d,nat-oop,4885,5506,109.007,1.127,3.045e-16,chain+rb2,3789,0
256,32,z:il2d,nat-oop,4764,5674,111.764,1.191,3.045e-16,chain+rb2,2442,1
256,64,z:il2d,nat-oop,10560,13664,108.608,1.294,3.848e-16,chain+rb2,1648,0
256,64,z:il2d,nat-oop,10173,14259,112.738,1.402,3.848e-16,chain+rb2,2033,1
256,128,z:il2d,nat-oop,17559,17989,139.962,1.024,3.796e-16,chain,953,0
256,128,z:il2d,nat-oop,17662,17975,139.144,1.018,3.796e-16,chain,733,1
256,256,z:il2d,nat-oop,27710,32680,189.205,1.179,4.142e-16,chain+rb2,525,0
256,256,z:il2d,nat-oop,26467,32590,198.094,1.231,4.142e-16,chain+rb2,386,1
256,8192,z:il2d,nat-oop,1303613,1657900,168.916,1.272,1.499e-15,chain,84,0
256,8192,z:il2d,nat-oop,1458525,1651400,150.975,1.132,1.499e-15,chain,82,1
512,64,z:il2d,nat-oop,18333,19097,134.055,1.042,3.665e-16,chain+rb2,1207,0
512,64,z:il2d,nat-oop,19052,19310,128.991,1.014,3.665e-16,chain+rb2,815,1
512,128,z:il2d,nat-oop,28593,32580,183.360,1.139,3.504e-16,chain,407,0
512,128,z:il2d,nat-oop,30320,32530,172.918,1.073,3.504e-16,chain,362,1
1024,64,z:il2d,nat-oop,35953,32657,145.825,0.908,3.507e-16,chain+rb2,410,0
1024,64,z:il2d,nat-oop,36093,34160,145.259,0.946,3.507e-16,chain+rb2,352,1
2048,2048,z:il2d,nat-oop,5537163,5976713,83.323,1.079,3.138e-15,chain,82,0
2048,2048,z:il2d,nat-oop,5514712,5914088,83.662,1.072,3.138e-15,chain,82,1
4096,128,z:il2d,nat-oop,278962,274850,178.545,0.985,1.190e-15,chain,116,0
4096,128,z:il2d,nat-oop,265200,285288,187.811,1.076,1.190e-15,chain,82,1
4096,256,z:il2d,nat-oop,705437,658587,148.642,0.934,1.312e-15,chain+rb2,88,0
4096,256,z:il2d,nat-oop,750000,684337,139.810,0.912,1.312e-15,chain+rb2,83,1
4096,1024,z:il2d,nat-oop,6728825,7108463,68.567,1.056,3.135e-15,chain,82,0
4096,1024,z:il2d,nat-oop,6832225,7022275,67.529,1.028,3.135e-15,chain,82,1
8192,128,z:il2d,nat-oop,889587,721500,117.872,0.811,1.236e-15,chain,89,0
8192,128,z:il2d,nat-oop,950287,667988,110.343,0.703,1.236e-15,chain,90,1
8192,256,z:il2d,nat-oop,3011750,2438763,73.114,0.810,1.552e-15,chain+rb2,83,0
8192,256,z:il2d,nat-oop,3130087,2305538,70.350,0.737,1.552e-15,chain+rb2,82,1
8192,512,z:il2d,nat-oop,7731987,7595850,59.671,0.982,2.938e-15,chain,82,0
8192,512,z:il2d,nat-oop,7850800,7617950,58.768,0.970,2.938e-15,chain,82,1
